source,documentation,COMMON.NAME,url,OBSERVATION.DATE,LATITUDE,LONGITUDE,morph,aberration,int_rating
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/94235623,19-Jan-21,22.37175092,70.10179907,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/92582261,13-Jan-21,7.237162445,80.31180169,I,,1
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/92358869,14-Jan-21,18.05193465,83.42433024,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/88657306,26-Jan-21,12.5998538,79.8406057,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/82425143,12-Feb-21,12.33771833,77.61993333,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/75058850,14-Feb-21,18.3758628,73.7691647,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/74510558,14-Feb-21,12.87672365,79.12998218,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/71010163,21-Feb-21,18.3758628,73.7691647,R(D),,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/70950165,15-Feb-21,21.36578288,81.93276118,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/70487765,26-Feb-21,19.03197498,73.03356249,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/70320589,28-Feb-21,12.31193526,77.27691974,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/70245095,27-Feb-21,19.233765,72.9445802,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/70186547,25-Feb-21,12.91831443,77.57779118,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/69982982,22-Feb-21,12.91495575,77.66387039,I,,2
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/69979802,22-Feb-21,19.21847964,72.91369407,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/69909851,20-Feb-21,19.031975,73.0335625,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/69540018,1-Feb-20,13.1130149,77.40783392,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/69204893,3-Feb-21,10.0612063,76.34652816,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/68592638,23-Jan-21,12.44703279,76.58019383,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/68390221,20-Jan-21,19.05225815,72.86276411,I,,1
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/67945760,3-Jan-21,13.11992361,80.1353509,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/67851851,9-Jan-21,10.0612063,76.34652816,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/67828806,3-Jan-21,9.832547169,76.49145529,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/142989769,5-Mar-21,12.671309,77.7607674,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/142909956,18-Apr-21,24.20254083,88.26801717,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/139607327,5-Mar-21,24.20254083,88.26801717,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/111894587,27-Mar-21,22.5125947,88.3590326,I,,2
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/83943209,12-Apr-21,34.66783889,72.3439528,I,,1
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/80269685,13-Apr-21,10.29552175,76.23140372,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/80193619,24-May-21,26.196395,78.20552833,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/79921632,7-May-21,21.81747933,83.31408759,W,,
