source,documentation,COMMON.NAME,SAMPLING.EVENT.IDENTIFIER,morph,aberration,int_rating
eBird,Photo,Indian Paradise-Flycatcher,S96366456,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65307579,W,,
eBird,Photo,Indian Paradise-Flycatcher, S210479887,I,,3
eBird,Photo,Indian Paradise-Flycatcher, S65639484,W,,
eBird,Photo,Indian Paradise-Flycatcher,S67707192,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65678001,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65415956,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65459117,I,,3
eBird,Photo,Indian Paradise-Flycatcher,S65454773,R,,
eBird,Photo,Indian Paradise-Flycatcher,S65454773,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65512194,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66016252,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65857875,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65528969,W,,
eBird,Photo,Indian Paradise-Flycatcher,S66079289,R,,
eBird,Photo,Indian Paradise-Flycatcher,S68962961,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65602376,R,,
eBird,Photo,Indian Paradise-Flycatcher,S65640084,R,,
eBird,Photo,Indian Paradise-Flycatcher,S141446923,W,,
eBird,Photo,Indian Paradise-Flycatcher,S96379988,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65865189,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65735005,W,,
eBird,Photo,Indian Paradise-Flycatcher,S67707302,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65672303,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65670424,W,,
eBird,Photo,Indian Paradise-Flycatcher,S70804251,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65714344,R,,
eBird,Photo,Indian Paradise-Flycatcher,S66428696,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65767069,I,,2
eBird,Photo,Indian Paradise-Flycatcher,S65738006,R,,
eBird,Photo,Indian Paradise-Flycatcher,S65767401,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65738763,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65738006,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65735269,W,,
eBird,Photo,Indian Paradise-Flycatcher,S65764052,W,,
